"group","trialID","keys","n"
"1",1,"n",1
"1",1,"p",1
"1",2,"h",1
"1",2,"p",1
"1",3,"c",1
"1",3,"l",1
"1",4,"]",1
"1",4,"m",1
"2",1,"w",1
"2",2,"o",1
"2",3,"p",1
"2",4,"m",1
