"group","trialID","keys","n"
1,1,"n",10
1,1,"p",4
1,2,"f",2
1,2,"h",11
1,2,"t",1
1,3,"c",10
1,3,"p",4
1,4,"h",12
1,4,"m",2
2,1,"p",13
2,2,"f",2
2,2,"s",11
2,3,"c",5
2,3,"f",1
2,3,"t",7
2,4,"h",3
2,4,"m",9
2,4,"n",1
