group,taller,how.tall,money
1,Yes,7000,30
2,No,6078,50
2,Yes,10000,50
1,Yes,4000,50
2,Yes,20000,40
1,Yes,15000,50
2,Yes,20000,60
1,Yes,30000,30
2,Yes,11000,45
2,Yes,13000,60
2,Yes,10000,34
1,Yes,1050,35
2,No,4000,85
2,Yes,15000,40
2,Yes,20000,40
2,Yes,18000,35
1,Yes,5000,70
2,Yes,9243,35
2,No,5000,70
1,Yes,15000,30
2,No,15000,40
1,Yes,4000,35
1,Yes,1500,27
1,No,20000,50
2,Yes,9000,80
1,Yes,2000,30
1,Yes,16000,65
1,Yes,17500,50
1,Yes,15000,40
1,Yes,10000,70
2,Yes,1000,40
